Price,close,High,Low,Open,Volume
Ticker,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS
Date,,,,,
2023-01-19,1593.5384521484375,1623.1861650149715,1589.5227007235105,1611.2874270918317,6015
2023-01-20,1575.54150390625,1603.801004986326,1567.9065292235086,1567.9065292235086,2945
2023-01-23,1567.6090087890625,1591.4561098164163,1561.7092666422775,1586.4983026207265,4690
2023-01-24,1596.3642578125,1602.3632528124433,1564.7335453843252,1564.7335453843252,3107
2023-01-25,1642.9677734375,1654.7178740048323,1576.5827796537046,1576.5827796537046,17538
2023-01-27,1601.123779296875,1644.70285464614,1562.7999067718647,1631.1185118088617,7252
2023-01-30,1576.3348388671875,1606.4287051196686,1556.7514999348857,1601.1238754903545,13804
2023-01-31,1613.7662353515625,1633.1016833327333,1571.6248743669596,1571.6248743669596,4479
2023-02-01,1601.07421875,1636.026759728265,1586.498313907065,1634.093263324277,11763
2023-02-02,1610.9898681640625,1622.3928250426688,1589.4730327309535,1601.3717703434124,6081
2023-02-03,1606.7757568359375,1615.2536559323332,1566.766275201827,1593.637567185168,9901
2023-02-06,1598.149169921875,1613.2704820616664,1586.4983228633473,1611.2377326694111,4340
2023-02-07,1601.81787109375,1611.2377047223633,1596.5130416267316,1611.2377047223633,2612
2023-02-08,1619.3189697265625,1641.0341895546949,1597.7525083230491,1603.3548546887864,3743
2023-02-09,1668.99609375,1680.6965666418203,1628.391702989693,1635.9771718790385,9908
2023-02-10,1658.188232421875,1694.5784885881087,1648.0247277360775,1694.5288621003851,3396
2023-02-13,1636.076416015625,1674.8464450598306,1626.2599333114877,1674.8464450598306,3099
2023-02-14,1642.76953125,1656.4035020088274,1596.4140306699865,1653.8254662915665,5824
2023-02-15,1615.0552978515625,1651.8917079671623,1607.3210703185835,1646.9835273282956,3367
2023-02-16,1782.57958984375,1839.346482636716,1631.1185789419935,1631.1185789419935,136732
2023-02-17,1776.6302490234375,1808.608106163667,1750.205111860755,1808.608106163667,30281
2023-02-20,1775.73779296875,1801.6671490131687,1745.1481465399984,1801.6671490131687,15706
2023-02-21,1779.307373046875,1800.873834311786,1771.9699152417895,1792.643947004937,7091
2023-02-22,1680.4984130859375,1791.7515606315908,1666.6165526272534,1779.3074158757547,14485
2023-02-23,1708.01416015625,1714.4096828531804,1655.8084275605731,1681.6881562284523,5851
2023-02-24,1735.4307861328125,1775.8865413536037,1715.4012934348043,1720.3591006412632,15016
2023-02-27,1786.050048828125,1842.3211607065407,1735.182898396837,1756.0056886954576,44360
2023-02-28,1604.0489501953125,1804.641885066915,1586.4983604983868,1794.7262703138001,147795
2023-03-01,1599.3885498046875,1628.0942041268831,1596.413865583104,1597.4054269902986,22846
2023-03-02,1596.860107421875,1616.9888535084954,1583.3748957521227,1604.4455768111786,15510
2023-03-03,1605.5859375,1635.0848917322835,1597.4055552339046,1608.3127315886986,10912
2023-03-06,1605.8834228515625,1630.3253161893947,1600.5784721691025,1625.169244975298,6800
2023-03-08,1590.1175537109375,1615.1048539952985,1586.4983301871548,1614.7578316936133,5555
2023-03-09,1615.1048583984375,1635.0848460067452,1594.2325623091403,1605.3380022346396,9332
2023-03-10,1587.5394287109375,1615.0552575752342,1559.0815438920254,1598.0003288622468,9394
2023-03-13,1576.18603515625,1625.1691943244061,1571.624876756671,1596.4635391555673,6316
2023-03-14,1563.741943359375,1594.728236892857,1530.2767463432144,1586.4486024285434,8249
2023-03-15,1557.7926025390625,1590.3157441826124,1537.0193183628678,1584.5151341386454,4637
2023-03-16,1580.201904296875,1596.4139095428857,1514.3125743503088,1561.7092593354316,8955
2023-03-17,1588.7789306640625,1611.2873267508971,1577.3759741978254,1586.5479174424074,4167
2023-03-20,1575.392822265625,1602.3632442981227,1565.9729888368922,1596.4138758168178,7124
2023-03-21,1593.7862548828125,1610.4940409231167,1571.6248809276174,1571.9223977754245,7188
2023-03-22,1611.7830810546875,1619.2197916716732,1587.737716726434,1600.3801247753095,3149
2023-03-23,1599.5867919921875,1620.1121854670764,1590.4644755857098,1620.1121854670764,2535
2023-03-24,1606.6766357421875,1619.2199127958334,1590.2663657106123,1612.2293558768602,4622
2023-03-27,1567.01416015625,1617.2367733085478,1556.8011495399905,1617.2367733085478,2599
2023-03-28,1598.5953369140625,1620.2114251516339,1552.8843778298842,1558.0405700444603,10346
2023-03-29,1600.0826416015625,1616.0468775607615,1584.5151754652054,1595.719868113304,4052
2023-03-31,1623.681884765625,1635.0848415135972,1611.5352569253935,1616.2451738430343,4946
2023-04-03,1616.195556640625,1636.0267858814816,1606.379194998575,1636.0267858814816,1886
2023-04-05,1644.8516845703125,1654.9160574802277,1612.4276736217473,1620.2114067841173,6215
2023-04-06,1633.5975341796875,1676.2843042021093,1627.2020110659064,1665.6250183189945,6729
2023-04-10,1684.216796875,1695.5701273820257,1631.366521681449,1655.8580417719904,8564
2023-04-11,1706.7747802734375,1718.3263743877221,1666.170266082144,1704.494140511698,6081
2023-04-12,1681.3907470703125,1710.4435467441413,1675.7388950710717,1710.4435467441413,3706
2023-04-13,1684.8612060546875,1689.3232326819937,1675.590130492662,1685.6545036489629,3713
2023-04-17,1685.4066162109375,1687.3897391598548,1665.823277090381,1685.6545065795522,5633
2023-04-18,1684.216796875,1711.385484540057,1675.78852431199,1677.7220207780044,24161
2023-04-19,1661.261962890625,1709.4021953417298,1649.164841411345,1684.2166330820148,7911
2023-04-20,1671.722900390625,1692.0499091693773,1660.9149779209201,1670.7809654730597,5951
2023-04-21,1686.8443603515625,1691.6039039252366,1665.823305154981,1665.823305154981,3074
2023-04-24,1709.6502685546875,1727.3001114505807,1683.671405994883,1695.5701438464368,11390
